"idbrrver","barrvere","comcor","total","nac_2000","nac_2001","nac_2002","nac_2003","nac_2004","nac_2005","nac_2006","nac_2007","nac_2008","nac_2009","nac_2010","nac_2011","nac_2012","nac_2013","nac_2014","nac_2015","nac_2016","nac_2017"
"1915","Urbanización Colseguros","Comuna 19","5","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"0102","Vista Hermosa","Comuna 01","4","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0"
"0219","Brisas de Los Alamos","Comuna 02","4","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0"
"0315","Navarro - La Chanca","Comuna 03","4","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"0296","Altos de Menga","Comuna 02","4","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0"
"0311","San Pedro","Comuna 03","4","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"1786","Cañaverales - Los Samanes","Comuna 17","4","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"0597","Los Andes B - La Riviera","Comuna 05","3","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0"
"0310","El Calvario","Comuna 03","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"0502","Los Andes","Comuna 05","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"0214","La Paz","Comuna 02","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"0504","Chiminangos II","Comuna 05","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0303","San Antonio","Comuna 03","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0196","Sector Patio Bonito","Comuna 01","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0305","Los Libertadores","Comuna 03","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1701","La Playa","Comuna 17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0306","San Juan Bosco","Comuna 03","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"0312","San Nicolás","Comuna 03","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0314","El Piloto","Comuna 03","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1914","Champagnat","Comuna 19","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
